,wine_name,vintage,winery_name,wine_style,wine_type,natural_wine,ratings_average,ratings_count,taste_acidity,taste_fizziness,taste_intensity,taste_sweetness,taste_tannin,flavor_score_black_fruit,flavor_score_citrus_fruit,flavor_score_dried_fruit,flavor_score_earth,flavor_score_floral,flavor_score_microbio,flavor_score_non_oak,flavor_score_oak,flavor_score_red_fruit,flavor_score_spices,flavor_score_tree_fruit,flavor_score_tropical_fruit,flavor_score_vegetal,grape_Cabernet Franc,grape_Cabernet Sauvignon,grape_Carménère,grape_Chardonnay,grape_Gewürztraminer,grape_Grenache,grape_Malbec,grape_Merlot,grape_Mourvedre,grape_Petit Verdot,grape_Petite Sirah,grape_Pinot Gris,grape_Pinot Noir,grape_Sauvignon Blanc,grape_Shiraz/Syrah,grape_Sémillon,grape_Zinfandel,years_old,num_grapes_used,is_blend,is_red
10,Stags' Leap The Investor Red 2015,2015,Stags' Leap,Californian Red Blend,Red Blend,0,0.7777777777777776,0.05347400694350512,0.9303704286796907,0.0,0.9702371949977173,0.4446762089480635,0.7814381583438645,0.1909246575342466,0.0008561643835616438,0.01327054794520548,0.1583904109589041,0.00898972602739726,0.01969178082191781,0.1446917808219178,0.2341609589041096,0.11601027397260275,0.10188356164383562,0.003852739726027397,0.0,0.007277397260273972,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0.10256410256410256,0.6,1,1
11,Robert Mondavi Cabernet Sauvignon 2010,2010,Robert Mondavi,Napa Valley Cabernet Sauvignon,Cabernet Sauvignon,0,0.4999999999999999,0.05338383155236936,0.8470230572958682,0.0,0.9659033227297876,0.4721622575356577,0.8212559929910658,0.2050345887778632,0.004227517294388932,0.012298232129131436,0.13182167563412758,0.010953112990007686,0.020945426594926982,0.13105303612605687,0.24788624135280554,0.0983858570330515,0.11971560338201385,0.004419677171406611,0.0005764796310530362,0.012682551883166795,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23076923076923078,0.0,0,1
12,Bread & Butter Cabernet Sauvignon 2018,2018,Bread & Butter,Californian Cabernet Sauvignon,Cabernet Sauvignon,0,0.6666666666666664,0.05324856846566572,0.7236554368304138,0.0,0.9335477503185089,0.5636193852204423,0.7315619460303944,0.09894212818917238,0.001866832607342875,0.012134411947728687,0.08556316116988177,0.004355942750466709,0.07840696950840075,0.18668326073428748,0.2647790914747978,0.08836341008089607,0.17050404480398254,0.001866832607342875,0.0006222775357809582,0.005911636589919104,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02564102564102564,0.0,0,1
13,Bonterra Cabernet Sauvignon 2015,2015,Bonterra,Californian Cabernet Sauvignon,Cabernet Sauvignon,0,0.38888888888888895,0.05324856846566572,0.7554011797252703,0.0,0.9680832633524651,0.4270869946983097,0.7941785026645862,0.16666666666666666,0.005208333333333333,0.007440476190476191,0.08035714285714286,0.004464285714285714,0.031622023809523815,0.15438988095238096,0.2328869047619048,0.1209077380952381,0.18080357142857145,0.005952380952380952,0.002232142857142857,0.007068452380952381,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10256410256410256,0.0,0,1
14,Clos du Val Cabernet Sauvignon 2013,2013,Clos du Val,Napa Valley Cabernet Sauvignon,Cabernet Sauvignon,0,0.611111111111111,0.05324856846566572,0.8457259561259447,0.0,0.960613266609048,0.45344899639021885,0.7893095403051527,0.19263642340565415,0.0023011176857330702,0.012491781722550955,0.15055884286653518,0.011505588428665352,0.0401051939513478,0.1383957922419461,0.2373438527284681,0.08777120315581853,0.11045364891518736,0.0026298487836949377,0.0023011176857330702,0.011505588428665352,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15384615384615385,0.0,0,1
15,Silverado Vineyards Estate Cabernet Sauvignon 2014,2014,Silverado Vineyards,Napa Valley Cabernet Sauvignon,Cabernet Sauvignon,0,0.7222222222222222,0.05297804229225844,0.8428429920264036,0.0,0.9689491640985669,0.4410476507677775,0.7852969862578194,0.2068696330991413,0.00546448087431694,0.008196721311475409,0.1209992193598751,0.008196721311475409,0.01795472287275566,0.12763466042154567,0.2228727556596409,0.13856362217017953,0.1284153005464481,0.00546448087431694,0.00078064012490242,0.00858704137392662,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1282051282051282,0.0,0,1
16,Rutherford Ranch Cabernet Sauvignon 2014,2014,Rutherford Ranch,Napa Valley Cabernet Sauvignon,Cabernet Sauvignon,0,0.6666666666666664,0.05257225303214753,0.8369010391651567,0.0,0.9688726337948519,0.41511943480009306,0.7736607777578823,0.1706875753920386,0.010253317249698432,0.013872135102533172,0.10554885404101327,0.011459589867310013,0.03739445114595899,0.1399276236429433,0.2503015681544029,0.1284680337756333,0.10675512665862484,0.006031363088057901,0.0024125452352231607,0.016887816646562127,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1282051282051282,0.0,0,1
17,Carmel Road Monterey Pinot Noir 2014,2014,Carmel Road,Californian Pinot Noir,Pinot Noir,0,0.4999999999999999,0.05252716533657965,0.8492501231829744,0.0,0.5945372531680291,0.43699762208923837,0.46814515140076335,0.06956521739130435,0.008695652173913044,0.010869565217391304,0.17318840579710146,0.0057971014492753615,0.04420289855072464,0.1036231884057971,0.20942028985507247,0.2594202898550725,0.08550724637681159,0.013768115942028985,0.002173913043478261,0.013768115942028985,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.1282051282051282,0.0,0,1
18,Groth Cabernet Sauvignon 2012,2012,Groth,Napa Valley Cabernet Sauvignon,Cabernet Sauvignon,0,0.7222222222222222,0.05230172685874025,0.8311422381647233,0.0,0.9685521328109804,0.4305566719750603,0.7682314261304092,0.1883301707779886,0.005218216318785579,0.02134724857685009,0.15512333965844402,0.0066413662239089176,0.027514231499051238,0.13614800759013282,0.24003795066413666,0.10294117647058824,0.10246679316888044,0.007115749525616699,0.0009487666034155598,0.006166982922201139,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1794871794871795,0.0,0,1
19,Decoy Pinot Noir 2016,2016,Decoy,Californian Pinot Noir,Pinot Noir,0,0.4999999999999999,0.05221155146760449,0.8450084603031933,0.0,0.5885886198063097,0.4302272324360682,0.4764854337976758,0.07864077669902912,0.009223300970873786,0.010194174757281555,0.13932038834951455,0.00825242718446602,0.031553398058252434,0.13106796116504854,0.2029126213592233,0.270873786407767,0.10194174757281553,0.0033980582524271844,0.0014563106796116505,0.01116504854368932,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.07692307692307693,0.0,0,1
