flavor_score_non_oak,grape_Pinot Noir,flavor_score_tropical_fruit,flavor_score_vegetal,grape_Sauvignon Blanc,winery_name,flavor_score_red_fruit,taste_sweetness,flavor_score_microbio,vintage,flavor_score_spices,taste_acidity,grape_Zinfandel,flavor_score_floral,flavor_score_dried_fruit,flavor_score_earth,grape_Cabernet Franc,flavor_score_tree_fruit,wine_type,grape_Cabernet Sauvignon,natural_wine,flavor_score_oak,flavor_score_black_fruit,grape_Shiraz/Syrah,grape_Carménère,taste_intensity,taste_tannin,grape_Merlot,grape_Chardonnay,ratings_count,taste_fizziness,grape_Petit Verdot,flavor_score_citrus_fruit,grape_Malbec,wine_name,wine_style,ratings_average,grape_Petite Sirah
0.14942528735632185,,0.0010946907498631637,0.0049261083743842365,,Ferrari Carano,0.1625615763546798,1.5208094,0.026272577996715927,2014,0.11986863711001643,3.844729,1,0.005473453749315818,0.027914614121510674,0.09250136836343732,,0.002736726874657909,Siena,1,False,0.22933771209633277,0.1724137931034483,1,,4.777323,3.2610288,1,,1568,,,0.005473453749315818,,Ferrari Carano Siena 2014,Californian Red Blend,4,
0.21925795053003533,,0.00035335689045936394,0.005830388692579506,,Predator,0.0784452296819788,2.6212962,0.02597173144876325,2012,0.07756183745583038,1.7270397,1,0.0033568904593639574,0.019787985865724382,0.21537102473498232,,0.0024734982332155478,Old Vine Zinfandel,,False,0.27208480565371024,0.07685512367491167,,,4.856415,2.429116,,,1567,,,0.00265017667844523,,Predator Old Vine Zinfandel 2012,Californian Zinfandel,3.9,
0.12042440318302387,,,0.00636604774535809,,Decoy,0.17188328912466844,1.9565111,0.027586206896551724,2015,0.1076923076923077,1.8293239,,0.007957559681697613,0.016976127320954906,0.10344827586206896,,0.004774535809018567,Sonoma County Merlot,,False,0.22122015915119364,0.20424403183023873,,,3.9239817,2.0716898,1,,1566,,,0.007427055702917772,,Decoy Sonoma County Merlot 2015,Californian Merlot,4,
0.14884500745156484,1,0.0014903129657228018,0.005961251862891207,,Belle Glos,0.1885245901639344,1.8635486,0.03315946348733234,2018,0.12555886736214605,3.4169536,,0.00894187779433681,0.022913561847988078,0.10171385991058123,,0.003912071535022355,Clark & Telephone Vineyard Pinot Noir,,False,0.22242921013412817,0.132451564828614,,,3.266131,2.0107276,,,1566,,,0.004098360655737705,,Belle Glos Clark & Telephone Vineyard Pinot Noir 2018,Californian Pinot Noir,4.4,
0.11829944547134935,1,0.00831792975970425,0.011090573012939002,,Beringer,0.2744916820702403,1.7152015,0.03512014787430684,2013,0.08040665434380777,3.3898168,,0.00831792975970425,0.01756007393715342,0.08964879852125693,,0.0073937153419593345,Founders' Estate Pinot Noir,,False,0.1866913123844732,0.15619223659889095,,,2.9623034,2.07727,,,1564,,,0.006469500924214418,,Beringer Founders' Estate Pinot Noir 2013,Californian Pinot Noir,3.6,
0.14846029173419772,,0.0009724473257698541,0.004862236628849271,,Honig,0.0952998379254457,1.5920604,0.03176661264181523,2012,0.1260940032414911,3.3800988,,0.006158833063209076,0.011993517017828201,0.13322528363047,,0.00226904376012966,Cabernet Sauvignon,1,False,0.24991896272285252,0.18606158833063208,,,4.8543234,3.4418004,,,1560,,,0.002917341977309562,,Honig Cabernet Sauvignon 2012,Napa Valley Cabernet Sauvignon,4.1,
0.1598984771573604,,0.0010152284263959391,0.007106598984771574,,Chateau Souverain,0.1416243654822335,1.5214896,0.029949238578680204,2013,0.13553299492385787,3.066427,,0.004568527918781726,0.007106598984771574,0.09543147208121827,,0.009644670050761422,Cabernet Sauvignon,1,False,0.24263959390862944,0.15532994923857868,,,4.744611,3.421904,,,1559,,,0.01015228426395939,,Chateau Souverain Cabernet Sauvignon 2013,Californian Cabernet Sauvignon,3.6,
0.15615462868769076,,0.001017293997965412,0.0054255679891488644,,Bogle,0.09596473380807054,1.6310468,0.033231603933536795,2010,0.12902678874194642,3.8730204,1,0.005764665988470668,0.0169548999660902,0.13241776873516448,,0.004747371990505256,Phantom,1,False,0.2605968124788064,0.15649372668701256,1,,4.8677845,3.4620993,1,,1558,,,0.002204136995591726,,Bogle Phantom 2010,Californian Red Blend,4,
0.1875,,0.00125,0.005,,1000 Stories,0.07375,1.7665254,0.02625,2016,0.1625,3.7567916,1,0.005,0.01625,0.09625,,,Gold Rush Red,1,False,0.2675,0.1575,1,,4.8180923,3.3034656,1,,1558,,,0.00125,,1000 Stories Gold Rush Red 2016,Californian Red Blend,3.9,
0.05555555555555555,,0.08916323731138547,0.05589849108367627,1,Ferrari Carano,0.007887517146776405,1.429517,0.09053497942386832,2015,0.04766803840877915,3.989742,,0.016117969821673524,0.0013717421124828531,0.0696159122085048,,0.20473251028806586,Fumé Blanc (Sauvignon Blanc),,False,0.14917695473251028,0.00411522633744856,,,3.0261526,,,,1555,,,0.20816186556927296,,Ferrari Carano Fumé Blanc (Sauvignon Blanc) 2015,Californian Sauvignon Blanc,3.7,
0.11815132314573239,,0.03428997390980246,0.0286992172940738,,Dark Horse,0.002981736861721953,2.8877716,0.20983973164368244,2017,0.06448005963473724,3.0421565,,0.004472605292582929,0.0014908684308609765,0.02981736861721953,,0.1475959746552367,Chardonnay,,False,0.3216548639582557,0.0011181513231457323,,,4.7581525,,,1,1553,,,0.035408125232948194,,Dark Horse Chardonnay 2017,Californian Chardonnay,3.4,
