grape_Malbec,flavor_score_non_oak,flavor_score_tree_fruit,grape_Sauvignon Blanc,flavor_score_oak,flavor_score_spices,grape_Sémillon,grape_Shiraz/Syrah,grape_Pinot Gris,grape_Petit Verdot,flavor_score_black_fruit,flavor_score_microbio,flavor_score_red_fruit,grape_Zinfandel,flavor_score_tropical_fruit,flavor_score_earth,grape_Petite Sirah,ratings_average,wine_name,wine_type,wine_style,taste_intensity,flavor_score_citrus_fruit,taste_fizziness,grape_Carménère,flavor_score_vegetal,grape_Cabernet Franc,grape_Pinot Noir,taste_sweetness,ratings_count,taste_acidity,grape_Chardonnay,natural_wine,taste_tannin,grape_Merlot,vintage,flavor_score_dried_fruit,winery_name,grape_Cabernet Sauvignon,flavor_score_floral
,0.14301250679717237,0.005437737901033171,,0.22294725394235998,0.1245241979336596,,,,,0.17971723762914626,0.026373028820010875,0.12887438825448613,,0.002175095160413268,0.12561174551386622,,4.2,Chateau Montelena Cabernet Sauvignon (Calistoga Cuvée) 2013,Cabernet Sauvignon (Calistoga Cuvée),Napa Valley Cabernet Sauvignon,4.7161093,0.006797172376291463,,,0.015769439912996192,,,1.4983507,2456,3.4025724,,False,3.3334768,,2013,0.01277868406742795,Chateau Montelena,1,0.005981511691136488
,0.10553410553410554,0.005148005148005148,,0.2410982410982411,0.06606606606606606,,,,,0.12998712998713,0.02702702702702703,0.28142428142428144,,0.000858000858000858,0.0990990990990991,,3.5,Mark West California Pinot Noir 2017,California Pinot Noir,Californian Pinot Noir,2.9767907,0.007293007293007293,,,0.016302016302016303,,1,1.4631801,2444,3.4351902,,False,2.1076324,,2017,0.012441012441012441,Mark West,,0.007722007722007722
,0.08095605242868158,0.006168080185042405,,0.2004626060138782,0.06707787201233616,,1,,,0.14417887432536622,0.051657671549730146,0.3346183500385505,1,0.002313030069390902,0.06476484194294525,,3.9,Ménage à Trois Silk Soft Red Blend 2017,Silk Soft Red Blend,Californian Red Blend,4.816442,0.004626060138781804,,,0.009252120277563608,,,1.6801509,2443,3.6846957,,False,2.9077387,1,2017,0.025443330763299923,Ménage à Trois,1,0.008481110254433308
,0.10553410553410554,0.005148005148005148,,0.2410982410982411,0.06606606606606606,,,,,0.12998712998713,0.02702702702702703,0.28142428142428144,,0.000858000858000858,0.0990990990990991,,3.5,Mark West California Pinot Noir 2016,California Pinot Noir,Californian Pinot Noir,2.9767907,0.007293007293007293,,,0.016302016302016303,,1,1.4631801,2441,3.4351902,,False,2.1076324,,2016,0.012441012441012441,Mark West,,0.007722007722007722
,0.09090909090909091,0.006060606060606061,,0.24242424242424243,0.1696969696969697,,,,,0.23030303030303031,0.012121212121212121,0.1393939393939394,1,,0.07272727272727272,,3.7,American Wings Zinfandel,Zinfandel,Californian Zinfandel,4.6018343,,,,,,,2.8649843,2428,1.8594044,,False,2.348025,,N.V.,0.024242424242424242,American Wings,,0.012121212121212121
,0.13624268227780734,0.1836083022884513,,0.20383182543906334,0.11282597126130921,1,,,,0.021287919105907396,0.07557211282597126,0.018626929217668974,,0.04204364023416711,0.11495476317189994,,3.5,Apothic White (Winemaker's Blend) 2015,White (Winemaker's Blend),Californian White Blend,3.9575012,0.05694518360830229,,,0.017030335284725917,,,3.0021312,2423,2.1546226,1,False,,,2015,0.004257583821181479,Apothic,,0.012772751463544438
,0.16358463726884778,0.005689900426742532,,0.23186344238975817,0.13513513513513514,,,,,0.08677098150782361,0.02844950213371266,0.2233285917496444,,0.002844950213371266,0.08392603129445235,,3.6,Bridlewood Monterey County Pinot Noir 2012,Monterey County Pinot Noir,Californian Pinot Noir,2.9239666,0.005689900426742532,,,0.004267425320056899,,1,1.5423622,2420,3.3934846,,False,2.0577514,,2012,0.021337126600284494,Bridlewood,,0.007112375533428165
,0.1442016806722689,0.005378151260504202,,0.2450420168067227,0.13142857142857142,,,,,0.18924369747899158,0.024873949579831932,0.15092436974789916,,0.004705882352941176,0.07394957983193277,,3.6,Sterling Vineyards Vintner's Collection Cabernet Sauvignon 2011,Vintner's Collection Cabernet Sauvignon,Californian Cabernet Sauvignon,4.791486,0.006386554621848739,,,0.010084033613445379,,,1.654165,2419,3.0322504,,False,3.3676715,,2011,0.008067226890756302,Sterling Vineyards,1,0.005714285714285714
,0.09947643979057591,0.013089005235602094,,0.25654450261780104,0.05235602094240838,,,,,0.09424083769633508,0.020942408376963352,0.23821989528795812,,,0.15968586387434555,,3.3,Woodbridge by Robert Mondavi Pinot Noir 2012,Pinot Noir,Californian Pinot Noir,2.8803852,0.015706806282722512,,,0.013089005235602094,,1,1.7399027,2414,3.4282205,,False,2.1519647,,2012,0.02617801047120419,Woodbridge by Robert Mondavi,,0.010471204188481676
,0.1224188790560472,0.004424778761061947,,0.19174041297935104,0.11307767944936087,,,,,0.2207472959685349,0.023107177974434612,0.16863323500491642,1,,0.10619469026548672,,3.9,The Federalist Zinfandel 2015,Zinfandel,Californian Zinfandel,4.825698,0.00344149459193707,,,0.007374631268436578,,,2.5208693,2412,1.8215163,,False,2.4670458,,2015,0.03392330383480826,The Federalist,,0.004916420845624385
