grape_Malbec,grape_Zinfandel,grape_Chardonnay,taste_acidity,ratings_average,wine_name,flavor_score_red_fruit,grape_Shiraz/Syrah,grape_Pinot Noir,flavor_score_spices,flavor_score_tropical_fruit,grape_Petite Sirah,taste_tannin,grape_Sémillon,winery_name,flavor_score_citrus_fruit,flavor_score_tree_fruit,flavor_score_dried_fruit,wine_type,grape_Merlot,ratings_count,taste_intensity,taste_sweetness,flavor_score_microbio,flavor_score_vegetal,flavor_score_floral,flavor_score_non_oak,grape_Carménère,flavor_score_black_fruit,wine_style,grape_Petit Verdot,grape_Cabernet Franc,flavor_score_earth,grape_Cabernet Sauvignon,natural_wine,flavor_score_oak,vintage,taste_fizziness
,,,3.0842657,3.6,Bonterra Cabernet Sauvignon 2015,0.1209077380952381,,,0.18080357142857142,0.002232142857142857,,3.4453325,,Bonterra,0.005208333333333333,0.005952380952380952,0.00744047619047619,Cabernet Sauvignon,,2106,4.786636,1.4738826,0.03162202380952381,0.007068452380952381,0.004464285714285714,0.15438988095238096,,0.16666666666666666,Californian Cabernet Sauvignon,,,0.08035714285714286,1,False,0.23288690476190477,2015,
,,,3.4530573,4,Clos du Val Cabernet Sauvignon 2013,0.08777120315581854,,,0.11045364891518737,0.0023011176857330702,,3.4242098,,Clos du Val,0.0023011176857330702,0.0026298487836949377,0.012491781722550954,Cabernet Sauvignon,,2106,4.749701,1.5648582,0.040105193951347796,0.011505588428665352,0.011505588428665352,0.1383957922419461,,0.19263642340565418,Napa Valley Cabernet Sauvignon,,,0.15055884286653518,1,False,0.2373438527284681,2013,
,,,3.4412863,4.2,Silverado Vineyards Estate Cabernet Sauvignon 2014,0.13856362217017953,,,0.1284153005464481,0.00078064012490242,,3.4068024,,Silverado Vineyards,0.00546448087431694,0.00546448087431694,0.00819672131147541,Estate Cabernet Sauvignon,,2100,4.7909174,1.522061,0.01795472287275566,0.00858704137392662,0.00819672131147541,0.12763466042154567,,0.2068696330991413,Napa Valley Cabernet Sauvignon,,,0.1209992193598751,1,False,0.2228727556596409,2014,
,,,3.4170256,4.1,Rutherford Ranch Cabernet Sauvignon 2014,0.1284680337756333,,,0.10675512665862485,0.0024125452352231603,,3.3563218,,Rutherford Ranch,0.010253317249698432,0.006031363088057901,0.013872135102533172,Cabernet Sauvignon,,2091,4.790539,1.4325824,0.03739445114595899,0.016887816646562123,0.011459589867310011,0.1399276236429433,,0.1706875753920386,Napa Valley Cabernet Sauvignon,,,0.10554885404101327,1,False,0.2503015681544029,2014,
,,,3.4674463,3.8,Carmel Road Monterey Pinot Noir 2014,0.2594202898550725,,1,0.08550724637681159,0.002173913043478261,,2.0309234,,Carmel Road,0.008695652173913044,0.013768115942028985,0.010869565217391304,Monterey Pinot Noir,,2090,2.9396577,1.5080843,0.04420289855072464,0.013768115942028985,0.005797101449275362,0.1036231884057971,,0.06956521739130435,Californian Pinot Noir,,,0.17318840579710146,,False,0.20942028985507247,2014,
,,,3.3935127,4.2,Groth Cabernet Sauvignon 2012,0.10294117647058823,,,0.10246679316888045,0.0009487666034155598,,3.332768,,Groth,0.005218216318785579,0.007115749525616698,0.021347248576850095,Cabernet Sauvignon,,2085,4.7889543,1.4858565,0.027514231499051234,0.006166982922201139,0.006641366223908918,0.13614800759013282,,0.1883301707779886,Napa Valley Cabernet Sauvignon,,,0.15512333965844402,1,False,0.24003795066413663,2012,
,,,3.4501278,3.8,Decoy Pinot Noir 2016,0.270873786407767,,1,0.10194174757281553,0.0014563106796116505,,2.0671055,,Decoy,0.009223300970873786,0.0033980582524271844,0.010194174757281554,Pinot Noir,,2083,2.910245,1.4847196,0.03155339805825243,0.01116504854368932,0.00825242718446602,0.13106796116504854,,0.07864077669902912,Californian Pinot Noir,,,0.13932038834951457,,False,0.2029126213592233,2016,
,1,,1.7783836,4.1,Seghesio Old Vine Zinfandel 2013,0.16344086021505377,,,0.13691756272401434,0.0007168458781362007,,2.5372794,,Seghesio,0.005017921146953405,0.0035842293906810036,0.021505376344086023,Old Vine Zinfandel,,2081,4.8277063,2.5324032,0.031541218637992835,0.008602150537634409,0.011469534050179211,0.11254480286738351,,0.2007168458781362,Californian Zinfandel,,,0.11827956989247312,,False,0.18566308243727597,2013,
,,,3.0304773,3.4,Fetzer Valley Oaks Cabernet Sauvignon 2010,0.18561484918793503,,,0.10092807424593968,,,3.4124298,,Fetzer,0.0069605568445475635,0.008120649651972157,0.010440835266821345,Valley Oaks Cabernet Sauvignon,,2080,4.6974707,1.7401873,0.033642691415313224,0.004640371229698376,0.00580046403712297,0.11252900232018562,,0.19489559164733178,Californian Cabernet Sauvignon,,,0.08352668213457076,1,False,0.2529002320185615,2010,
,,,3.0181217,3.8,Joseph Carr Cabernet Sauvignon 2013,0.14756756756756756,,,0.10108108108108108,0.0005405405405405405,,3.3192644,,Joseph Carr,0.004324324324324324,0.005945945945945946,0.017297297297297298,Cabernet Sauvignon,,2079,4.825945,1.5047075,0.03135135135135135,0.01027027027027027,0.005945945945945946,0.13891891891891892,,0.18,Californian Cabernet Sauvignon,,,0.12054054054054054,1,False,0.23621621621621622,2013,
